"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"Love U","","청하|Blooming Blue","43,866,879","","MNH Entertainment","Stone Music Entertainment"
"도망가지마","","모트 (Motte)|A-TEEN Part 4","43,801,404","","PLAYLIST","로엔엔터테인먼트"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","43,785,624","","빅히트 엔터테인먼트","IRIVER"
"몰랐니 (Lil’ Touch)","","소녀시대-Oh!GG|몰랐니 - The 1st Single Album","43,501,500","","SM Entertainment","IRIVER"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","41,436,818","","쏘스뮤직","로엔엔터테인먼트"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","39,879,392","","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"벚꽃연가","","첸 (CHEN)|백일의 낭군님 OST Part 3","39,644,409","","Stone Music Entertainment, 팝뮤직","지니뮤직"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","39,536,335","","RBW","로엔엔터테인먼트"
"Answer _ Love Myself","","방탄소년단|LOVE YOURSELF 結 `Answer`","39,378,368","","빅히트 엔터테인먼트","IRIVER"
"그리워하다","","비투비 (BTOB)|Brother Act.","39,105,014","","큐브엔터테인먼트","로엔엔터테인먼트"
"Perfect","","10cm|연애플레이리스트3 Part 1","38,979,222","","PLAYLIST","로엔엔터테인먼트"
"Roller Coaster","","청하|Offset","38,227,027","","MNH Entertainment","Stone Music Entertainment"
"Wow Thing","","슬기 (SEULGI), 신비, 청하, 소연|Wow Thing","37,772,038","","SM Entertainment","IRIVER"
"넌 (none)","","크러쉬 (CRUSH)|넌 (none)","37,675,071","","아메바컬쳐","Stone Music Entertainment"
"YOUNG","","백현 (BAEKHYUN), 로꼬|YOUNG","37,537,458","","SM Entertainment","IRIVER"
"What is Love?","","TWICE|What is Love?","37,431,186","","JYP Entertainment","IRIVER"
"너에게","","김민석|연애플레이리스트3 Part 2","37,396,784","","스페이스오디티","로엔엔터테인먼트"
"NOAH (Feat. 박재범, Hoody)","","김하온 (HAON)|TRAVEL_ NOAH","37,136,215","","H1GHR MUSIC","Stone Music Entertainment"
"공상과학기술 (Feat. 기리보이, 스윙스)","","nafla, OLNL (오르내림), ODEE|쇼미더머니 777 Episode 1","36,668,246","","Stone Music Entertainment","지니뮤직"
"Thunder","","Imagine Dragons|Evolve","36,545,065","","KIDinaKORNER, Interscope Records","Universal Music"
"너를 만나","","폴킴|너를 만나","36,225,270","","뉴런뮤직","로엔엔터테인먼트"
"Youth","","Troye Sivan|Youth","35,794,516","","Universal Music","Universal Music"
"소나기 (Feat. 10cm)","","용준형|소나기","35,774,345","","어라운드 어스","로엔엔터테인먼트"
"불꽃놀이 (Remember Me)","","오마이걸 (OH MY GIRL)|6th Mini Album `REMEMBER ME`","34,518,349","","WM엔터테인먼트","로엔엔터테인먼트"
"패 (Feat. 넉살, 딥플로우)","","김효은, Chaboom, EK|쇼미더머니 777 Episode 1","33,939,542","","Stone Music Entertainment","지니뮤직"
"비도 오고 그래서 (Feat. 신용재)","","헤이즈 (Heize)|/// (너 먹구름 비)","33,845,865","","Stone Music Entertainment","Stone Music Entertainment"
"어찌 잊으오","","황치열|미스터 션샤인 OST Part 15","33,609,687","","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"붕붕 (Feat. Sik-K) (Prod. GroovyRoom)","","김하온 (HAON)|고등래퍼2 Final","33,550,729","","Stone Music Entertainment","Stone Music Entertainment"
"왜 몰랐을까","","로이킴|아는 와이프 OST Part 3","33,128,953","","Stone Music Entertainment","Stone Music Entertainment"
"이 별","","길구봉구|Star","32,952,200","","뮤직웍스","지니뮤직"
"BAAM","","모모랜드 (MOMOLAND)|Fun to The World","32,163,023","","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"Epiphany","","방탄소년단|LOVE YOURSELF 結 `Answer`","31,721,509","","빅히트 엔터테인먼트","IRIVER"
"첫눈처럼 너에게 가겠다","","에일리 (Ailee)|도깨비 OST Part 9","31,353,141","","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"에너제틱 (Energetic)","","Wanna One (워너원)|1X1=1(TO BE ONE)","30,737,738","","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"까만밤 (PROD. GroovyRoom, OREO)","","소유, 식케이 (Sik-K)|RE_FRESH","30,670,256","","스타쉽엔터테인먼트","로엔엔터테인먼트"
"Chandelier","","Sia|Chandelier","30,665,337","","Sony Music","Sony Music"
"Not A Love","","바이브 (Vibe)|ABOUT ME","29,002,763","","메이저나인","지니뮤직"
"Anpanman","","방탄소년단|LOVE YOURSELF 轉 `Tear`","28,942,900","","빅히트 엔터테인먼트","IRIVER"
"Trivia 轉 _ Seesaw","","방탄소년단|LOVE YOURSELF 結 `Answer`","28,438,026","","빅히트 엔터테인먼트","IRIVER"
"사이렌 (Siren)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/145034D526E04CAEA18965D0FFEC4CAD.png","선미|WARNING","202,755,626","1","메이크어스엔터테인먼트","로엔엔터테인먼트"
"Way Back Home","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/209FD0570FE944879925FAA4D735BB36.png","숀 (SHAUN)|Take","165,362,284","","디씨톰엔터테인먼트","Warner Music"
"모든 날, 모든 순간 (Every day, Every Moment)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/55A1EA1F83DF4E2593945FF10D112A5F.png","폴킴|`키스 먼저 할까요?` OST Part 3","137,021,104","","SM Entertainment","IRIVER"
"IDOL","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/3DE7A4752CB946289A5AF60DC8E524BD.jpg","방탄소년단|LOVE YOURSELF 結 `Answer`","135,553,913","","빅히트 엔터테인먼트","IRIVER"
"헤어지는 중","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/3AC81D75C255470A8361538F61B4781E.png","펀치 (Punch)|헤어지는 중","131,638,751","","냠냠엔터테인먼트","로엔엔터테인먼트"
"열애중","","벤 (Ben)|RECIPE","124,974,173","","메이저나인","지니뮤직"
"뚜두뚜두 (DDU-DU DDU-DU)","","BLACKPINK|SQUARE UP","116,428,898","","YG Entertainment","지니뮤직"
"Power Up","","레드벨벳(Red Velvet)|Summer Magic - Summer Mini Album","114,875,050","","SM Entertainment","IRIVER"
